	differentiation	differentiation	differentiation	differentiation	lower	lower	lower	lower	upper	upper	upper	upper	upper_vs_lower	upper_vs_lower	upper_vs_lower	upper_vs_lower
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1
	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
ADRA2A	0.18193254619256682	1.5468646293487505	4	4	0.05528841893335589	-2.2491391283902646	4	4	0.1100615227659428	-10.086808691735877	4	4	0.6485246646255788	2.7523513310711936	1	1
ADRA2B	0.46092721016380545	-2.9371162424922805	5	5	0.5856729259166228	-0.6472318006361428	2	2	0.5547179011671135	0.874552501751802	3	3	0.23142589990922313	3.2791643673720072	2	2
ADRA2C	0.4996123925711774	-3.3605299877803567	5	5	0.27282133253971086	-1.0648968855376815	4	4	0.6374959400499526	-1.8427633263584389	5	5	0.09425928309681748	3.532289589168087	3	3
ADRB1	0.9330575556980906	-2.643231741381889	5	5	0.2792385652861885	8.948433142040324	4	4	0.22476829890808492	3.2655617920117592	5	5	0.8405170719238915	-7.246835261771352	5	5
ADRB2	0.16433363024360703	1.1512829720959317	5	5	0.38434375366436746	4.605681431610809	5	5	0.31619650212189965	-6.90708320802013	5	5	0.5764223405387352	-6.5309674837938845	4	4
ADRB3	0.3149584992619813	0.4431732843807194	5	5	0.8455821211167693	6.303856409562232	5	5	0.18492021715274032	2.029362109734001	5	5	0.15599043705407378	-3.2548868297012583	5	5
ADRBK1	0.9380058648524916	-4.9605903529559106	5	5	0.8575216596071998	9.228195335719565	4	4	0.5899634209637099	-3.135733605022308	3	3	0.3601334303089583	-7.479231600646785	3	3
ADRBK2	0.23589356297761477	-1.318671892075968	5	5	0.6036345294692856	4.813922196087433	4	4	0.9109035476012355	-1.433038926596332	4	4	0.8700179988420107	-3.6096227154052607	4	4
ADSSL1	0.0659687831331526	1.1637119816444474	5	5	0.6125957104422683	5.172698092087356	5	5	0.4576370783302173	-3.5844998136477106	5	5	0.7648956320274692	-4.029705529304985	4	4
AFG3L2	0.48533546545084405	-6.298595276989624	2	2			0	0			0	0			0	0
