	Diff	Lower	T0	Upper
	Rep1	Rep1	Rep1	Rep1
sgId				
ACHE_-_100494236.23-P2	1014	2	1534	2226
ACHE_-_100494578.23-P2	2412	6	2710	5059
ACOT13_+_24667341.23-P1P2	3661	5648	1301	4
ACOT13_-_24667329.23-P1P2	1874	3927	2071	1609
ACOT13_-_24667371.23-P1P2	1327	0	1100	1
ACOT13_-_24667386.23-P1P2	1	0	248	0
ACOT13_-_24667473.23-P1P2	2724	2626	1137	2997
ACOX1_+_73975227.23-P1P2	5	3449	1864	2
ACOX1_-_73975169.23-P1P2	2307	8231	1682	1989
ACOX1_-_73975193.23-P1P2	3190	2	916	3
ACOX1_-_73975196.23-P1P2	1190	0	1603	2
ACOX1_-_73975245.23-P1P2	3440	4127	2871	4
ACP1_+_264980.23-P1P2	3611	2	2333	1185
ACP1_+_265303.23-P1P2	3	0	522	0
ACP1_-_264967.23-P1P2	842	3962	835	3098
ACP1_-_264970.23-P1P2	0	0	0	0
ACP1_-_265107.23-P1P2	3080	2336	236	2
ACP2_+_47270320.23-P1P2	2	2053	1339	1
ACP2_+_47270332.23-P1P2	0	0	0	0
ACP2_-_47269915.23-P1P2	2887	1	917	1747
ACP2_-_47269958.23-P1P2	1239	0	1370	0
ACP2_-_47270385.23-P1P2	3	0	1585	1
ACP5_+_11688472.23-P1	1653	0	230	728
ACP5_-_11688086.23-P1	1261	2	448	1203
ACP5_-_11688414.23-P1	2949	4827	2523	2822
ACP5_-_11688437.23-P1	753	2921	1785	3019
ACP5_-_11688455.23-P1	954	4582	533	1
ACP5_-_11689356.23-P2	8	4550	1695	3424
ACP5_-_11689724.23-P2	2081	3	2366	3500
ACP5_-_11689727.23-P2	2667	6	1244	2895
ACP5_-_11689744.23-P2	4	3132	604	0
ACP5_-_11689771.23-P2	2510	1	1509	1378
ACP6_+_147141956.23-P1P2	3764	5183	2518	1074
ACP6_+_147142159.23-P1P2	0	0	471	0
ACP6_-_147142348.23-P1P2	1721	1350	1397	0
ACP6_-_147142356.23-P1P2	2505	4936	1661	1876
ACP6_-_147142393.23-P1P2	2071	4764	1794	1966
ACPP_+_132036268.23-P1P2	9	4	2779	6916
ACPP_+_132036293.23-P1P2	1213	2	1345	1
ACPP_+_132036338.23-P1P2	0	0	786	0
ACPP_+_132036504.23-P1P2	1516	0	596	1207
ACPP_+_132036703.23-P1P2	1497	1	1564	1
ACPT_+_51293697.23-ENST00000270593.1	2813	5991	740	1761
ACPT_+_51293761.23-ENST00000270593.1	8	3	1348	3093
ACPT_+_51294074.23-ENST00000270593.1	10	5312	1016	0
ACPT_-_51293910.23-ENST00000270593.1	0	0	1159	0
ACPT_-_51294122.23-ENST00000270593.1	0	0	0	0
ACSL1_+_185746700.23-P1P2	1527	1	81	0
ACSL1_+_185747071.23-P1P2	1475	3	1627	0
ACSL1_+_185747074.23-P1P2	2165	1	3196	3
