Gene	sgRNA	Lower|beta	Lower|z	Lower|p-value	Lower|fdr	Lower|wald-p-value	Lower|wald-fdr	Upper|beta	Upper|z	Upper|p-value	Upper|fdr	Upper|wald-p-value	Upper|wald-fdr
S100A1	7	0.34344	2.3086	0.88351	0.99764	0.020964	0.41293	0.03451	0.22942	0.53987	0.9943	0.81855	1
S100A2	2	2.0291	0.20573	0.85439	0.99764	0.837	0.99608	1.7681	0.1837	0.66487	0.9943	0.85425	1
S100A4	5	0.29137	2.2729	0.79256	0.99511	0.023034	0.41293	0.01324	0.10208	0.25493	0.97109	0.9187	1
S100A7	3	4.4555	0.08979	0.26971	0.96267	0.92845	0.99608	0.47319	0.0092112	0.93056	0.9943	0.99265	1
S100B	4	0.44804	1.2095	0.99194	0.99866	0.22649	0.6039	0.063889	0.1678	0.76165	0.9943	0.86674	1
S100G	3	-1.3269	-0.13045	0.46192	0.96267	0.89621	0.99608	3.0707	0.3028	0.061828	0.92557	0.76204	1
S100P	2	3.2325	0.18941	0.65099	0.99511	0.84977	0.99608	-4.8205	-0.24302	0.050179	0.92557	0.80799	1
SAA1	4	0.21243	1.4098	0.66532	0.99511	0.15861	0.52303	0.0058075	0.038046	0.25	0.96707	0.96965	1
SACM1L	1	-3.0501	-0.40461	0.072581	0.96267	0.68577	0.99608	2.1507	0.2839	0.75851	0.9943	0.77649	1
SAR1B	4	3.3201	0.26523	0.49821	0.96267	0.79083	0.99608	1.7013	0.13642	0.54749	0.9943	0.89149	1
SBF1	5	1.559	0.43572	0.76747	0.99511	0.66304	0.99608	1.9934	0.58065	0.33781	0.97823	0.56148	1
SBF2	3	4.247	0.095408	0.32885	0.96267	0.92399	0.99608	1.0059	0.022324	0.9095	0.9943	0.98219	1
SBK1	3	0.27526	1.3561	0.85842	0.99764	0.17507	0.53892	0.0068292	0.033256	0.39292	0.98251	0.97347	1
SBK2	2	0.20056	1.4174	0.96416	0.99866	0.15636	0.52303	0.012297	0.085831	0.53584	0.9943	0.9316	1
SCARB1	4	3.4697	0.21246	0.46326	0.96267	0.83175	0.99608	0.99363	0.060746	0.82168	0.9943	0.95156	1
SCGB1A1	2	0.45353	1.1951	0.92294	0.99764	0.23206	0.60412	0.087902	0.22611	0.66801	0.9943	0.82112	1
SCLY	5	0.16992	2.0015	0.39785	0.96267	0.04534	0.47176	0.017702	0.20565	0.3293	0.97823	0.83707	1
SCMH1	4	0.14637	1.4564	0.47625	0.96267	0.14528	0.52303	0.023224	0.22782	0.54077	0.9943	0.81979	1
SCN10A	2	-2.213	-2.4826	0.40367	0.96267	0.013043	0.35939	-4.5806	-5.1323	0.091846	0.92557	2.863e-07	1.3596e-05
SCN1A	3	4.4614	0.084982	0.26971	0.96267	0.93228	0.99608	0.14407	0.002685	0.79525	0.9943	0.99786	1
SCN1B	2	3.196	0.157	0.65815	0.99511	0.87524	0.99608	2.4181	0.11885	0.39247	0.98251	0.90539	1
SCN2A	5	-2.773	-2.9136	0.042563	0.94231	0.003573	0.16746	0.37566	0.46359	0.94444	0.99481	0.64294	1
SCN2B	3	-2.2036	-3.5514	0.26434	0.96267	0.00038322	0.065957	-4.4639	-7.1976	0.049283	0.92557	6.1285e-13	1.9541e-10
SCN3A	1	-0.22222	-0.2322	0.74328	0.99511	0.81638	0.99608	-2.9452	-3.085	0.83333	0.9943	0.0020355	0.035219
SCN4A	2	-2.2262	-0.92512	0.39606	0.96267	0.3549	0.82258	1.2113	0.54875	0.87276	0.9943	0.58318	1
SCN4B	4	0.27205	1.3586	0.8069	0.99511	0.17428	0.53892	0.012485	0.061611	0.35842	0.97823	0.95087	1
SCN5A	3	0.13673	1.4603	0.6353	0.99511	0.14421	0.52303	0.024804	0.26117	0.58423	0.9943	0.79397	1
SCN9A	3	-2.3647	-1.6082	0.20565	0.96267	0.10779	0.52303	1.1173	0.83135	0.87142	0.9943	0.40577	1
SCNN1A	2	-2.3592	-2.4624	0.32124	0.96267	0.013802	0.36243	-4.8148	-5.3208	0.050627	0.92557	1.0332e-07	6.0689e-06
SCNN1B	3	-2.211	-0.8379	0.2603	0.96267	0.40208	0.91952	1.5944	0.6761	0.66891	0.9943	0.49898	1
SCNN1D	6	3.2668	0.3318	0.43907	0.96267	0.74004	0.99608	0.73742	0.074401	0.82527	0.9943	0.94069	1
SCNN1G	5	0.23315	1.9397	0.62858	0.99511	0.052418	0.47176	0.034815	0.28599	0.64203	0.9943	0.77489	1
