Gene	sgRNA	Lower|beta	Lower|z	Lower|p-value	Lower|fdr	Lower|wald-p-value	Lower|wald-fdr	Upper|beta	Upper|z	Upper|p-value	Upper|fdr	Upper|wald-p-value	Upper|wald-fdr
LDHAL6B	3	4.966	0.07381	0.14113	0.96267	0.94116	0.99608	-0.041174	-0.00060988	0.27823	0.97823	0.99951	1
LDHC	4	-1.3497	-0.23356	0.29167	0.96267	0.81532	0.99608	2.7697	0.48729	0.086022	0.92557	0.62605	1
LEPRE1	3	0.95925	0.7914	0.95968	0.99866	0.42871	0.97296	-1.3856	-1.1069	0.12231	0.92557	0.26835	1
LEPREL1	4	1.7702	0.4133	0.80063	0.99511	0.67939	0.99608	1.9038	0.45852	0.44713	0.98521	0.64658	1
LEPREL2	5	1.8425	0.41286	0.69982	0.99511	0.67971	0.99608	2.1036	0.49057	0.28629	0.97823	0.62373	1
LGALS2	2	-1.8002	-1.0526	0.60439	0.98828	0.29252	0.69312	-4.3321	-2.6494	0.14471	0.93333	0.0080625	0.12242
LGALS7	1	-2.2286	-0.47382	0.48297	0.96267	0.63563	0.99608	1.7426	0.36691	0.93548	0.9943	0.71369	1
LGALS9	1	-1.5032	-0.05477	0.98522	0.99866	0.95632	0.99608	3.3624	0.12191	0.16711	0.93333	0.90297	1
LGSN	1	-1.9656	-1.5138	0.70116	0.99511	0.13007	0.52303	-4.8435	-3.7372	0.11694	0.92557	0.00018606	0.0047379
LHCGR	2	2.4325	0.3714	0.81228	0.99511	0.71034	0.99608	0.086926	0.013093	0.66711	0.9943	0.98955	1
LHPP	5	0.18498	1.9713	0.45341	0.96267	0.048688	0.47176	0.023589	0.24799	0.44848	0.98525	0.80414	1
LIMK1	4	1.3953	0.62707	0.87858	0.99764	0.53062	0.99608	0.86496	0.39597	0.86962	0.9943	0.69213	1
LIMK2	1	-2.1325	-0.1334	0.56631	0.97007	0.89388	0.99608	2.8434	0.17728	0.37545	0.98251	0.85929	1
LIPA	5	0.24686	1.9135	0.67697	0.99511	0.055688	0.47176	0.051244	0.39229	0.77106	0.9943	0.69485	1
LIPF	1	-2.0026	-0.13567	0.67384	0.99511	0.89208	0.99608	2.7699	0.18673	0.41935	0.98521	0.85187	1
LIPJ	2	0.13044	1.4739	0.84633	0.99764	0.14051	0.52303	0.0092098	0.10262	0.51344	0.9943	0.91827	1
LIPT1	2	6.3098	0.019093	0.010753	0.68889	0.98477	0.99608	2.9103	0.0088062	0.17249	0.93333	0.99297	1
LMAN1	4	1.857	0.44781	0.77688	0.99511	0.65429	0.99608	1.6631	0.41051	0.56541	0.9943	0.68143	1
LMTK2	3	4.0049	0.11952	0.39785	0.96267	0.90486	0.99608	2.681	0.080012	0.17384	0.93333	0.93623	1
LMTK3	4	0.15739	1.4267	0.50762	0.96267	0.15367	0.52303	0.064163	0.57358	0.76165	0.9943	0.56625	1
LPA	2	0.1291	1.4533	0.8405	0.99764	0.14613	0.52303	0.035379	0.39277	0.61649	0.9943	0.69449	1
LPL	2	-2.0608	-0.24073	0.48522	0.96267	0.80976	0.99608	2.7569	0.32469	0.23835	0.95341	0.74541	1
LPPR2	2	1.8045	0.52308	0.87052	0.99764	0.60092	0.99608	-0.29367	-0.084971	0.34991	0.97823	0.93228	1
LRAT	2	-2.4262	-1.7053	0.28495	0.96267	0.08813	0.52303	0.21126	0.17238	0.74283	0.9943	0.86314	1
LRP1	4	1.0247	0.57506	0.9086	0.99764	0.56525	0.99608	0.063107	0.037627	0.76075	0.9943	0.96999	1
LRRK1	4	1.9328	0.38612	0.75851	0.99511	0.69941	0.99608	2.0646	0.41553	0.35484	0.97823	0.67775	1
LRRK2	3	-2.0489	-2.6583	0.31989	0.96267	0.0078546	0.25782	-4.7358	-6.2407	0.024194	0.92557	4.3569e-10	5.4026e-08
LSS	1	5.6833	0.019595	0.22267	0.96267	0.98437	0.99608	-3.0519	-0.010539	0.81855	0.9943	0.99159	1
LTA4H	3	2.0767	0.47562	0.86425	0.99764	0.63434	0.99608	-4.7762	-0.85338	0.020161	0.92557	0.39345	1
LTA	1	5.9127	0.016187	0.15457	0.96267	0.98709	0.99608	2.6562	0.007272	0.49642	0.99372	0.9942	1
LTC4S	4	0.19969	1.9952	0.63441	0.99511	0.04602	0.47176	0.0113	0.11142	0.33378	0.97823	0.91128	1
LTF	1	5.1543	0.030231	0.37679	0.96267	0.97588	0.99608	-3.7175	-0.021876	0.65323	0.9943	0.98255	1
LTK	3	-2.3547	-1.0588	0.20923	0.96267	0.28969	0.68713	1.501	0.69519	0.7155	0.9943	0.48694	1
LY96	2	-2.3135	-2.3032	0.34364	0.96267	0.021267	0.41293	-4.8303	-4.8444	0.049731	0.92557	1.2699e-06	4.9725e-05
LYN	4	4.8882	0.084885	0.10484	0.96267	0.93235	0.99608	2.3986	0.041652	0.21102	0.94036	0.96678	1
LYZ	2	-1.5902	-0.17113	0.66532	0.99511	0.86412	0.99608	2.8394	0.30537	0.20072	0.93333	0.76009	1
M6PR	3	-3.2635	-2.78	0.012097	0.68889	0.0054366	0.20567	-0.54659	-0.57253	0.1698	0.93333	0.56696	1
MADD	3	4.6349	0.083366	0.22267	0.96267	0.93356	0.99608	-3.9427	-0.069617	0.091846	0.92557	0.9445	1
MAGI2	3	-2.3109	-0.34251	0.23073	0.96267	0.73196	0.99608	2.5013	0.40259	0.2379	0.95332	0.68725	1
MAGI3	4	0.17191	1.4388	0.54435	0.96352	0.15021	0.52303	0.026688	0.22033	0.59722	0.9943	0.82562	1
MAK	3	2.6952	0.22957	0.72177	0.99511	0.81843	0.99608	2.7092	0.23219	0.16353	0.93333	0.81639	1
MAN1A1	3	-2.3116	-0.53541	0.23073	0.96267	0.59237	0.99608	2.3467	0.55702	0.30332	0.97823	0.57751	1
MAN1B1	5	0.77172	0.33666	0.90547	0.99764	0.73638	0.99608	1.7379	0.77579	0.46326	0.99043	0.43787	1
MAN2A1	4	3.9414	0.1522	0.33781	0.96267	0.87903	0.99608	0.86391	0.033098	0.87007	0.9943	0.9736	1
MAOB	2	2.2045	0.4208	0.83692	0.99764	0.6739	0.99608	0.11551	0.022016	0.6819	0.9943	0.98244	1
MAP1A	3	5.5325	0.035271	0.041667	0.94231	0.97186	0.99608	2.9094	0.018544	0.099014	0.92557	0.9852	1
MAP2K1	3	2.2285	0.25893	0.83244	0.99732	0.79569	0.99608	2.525	0.29498	0.22894	0.95264	0.76801	1
MAP2K2	4	2.8799	0.34731	0.56765	0.97163	0.72836	0.99608	1.6792	0.20344	0.55556	0.9943	0.83879	1
MAP2K3	3	0.38208	1.2479	0.91891	0.99764	0.21205	0.59705	0.096118	0.30502	0.73432	0.9943	0.76035	1
MAP2K4	5	2.0721	0.5639	0.6707	0.99511	0.57282	0.99608	-0.13391	-0.036041	0.10753	0.92557	0.97125	1
MAP2K5	4	0.43673	1.2224	0.98208	0.99866	0.22156	0.5985	0.063361	0.17246	0.76075	0.9943	0.86308	1
MAP2K6	1	6.3581	0.011147	0.061828	0.96267	0.99111	0.99646	-3.2113	-0.0056439	0.78763	0.9943	0.9955	1
MAP2K7	2	1.0754	0.65775	0.89292	0.99764	0.5107	0.99608	-0.47805	-0.29748	0.33602	0.97823	0.7661	1
MAP3K10	3	2.0542	0.51522	0.86694	0.99764	0.6064	0.99608	0.86948	0.21913	0.95744	0.99767	0.82655	1
MAP3K11	7	0.3624	1.2881	0.94176	0.99764	0.19771	0.58529	0.082022	0.28232	0.98925	0.9991	0.7777	1
MAP3K12	3	0.23643	1.389	0.83692	0.99764	0.16482	0.52555	4.0566e-05	0.00023542	0.31362	0.97823	0.99981	1
MAP3K13	7	0.72409	0.28197	0.76971	0.99511	0.77797	0.99608	1.9454	0.83161	0.29122	0.97823	0.40563	1
MAP3K14	5	0.28406	1.8899	0.77823	0.99511	0.058776	0.47176	0.02548	0.16752	0.48835	0.99372	0.86696	1
MAP3K15	2	2.4358	0.34578	0.81183	0.99511	0.72951	0.99608	-4.9488	-0.63567	0.03181	0.92557	0.52499	1
MAP3K19	1	4.1984	0.064316	0.6241	0.99511	0.94872	0.99608	2.0245	0.031015	0.82079	0.9943	0.97526	1
MAP3K1	5	-1.5224	-0.38531	0.19624	0.96267	0.70001	0.99608	2.3629	0.6455	0.17384	0.93333	0.5186	1
MAP3K2	4	0.3406	1.5451	0.88665	0.99764	0.12233	0.52303	0.018568	0.083328	0.4664	0.99143	0.93359	1
MAP3K3	5	0.50483	1.6209	0.94892	0.99765	0.10503	0.52303	0.098343	0.30775	0.8405	0.9943	0.75827	1
MAP3K4	3	0.1593	1.4537	0.71416	0.99511	0.14602	0.52303	0.0052143	0.046935	0.36604	0.98082	0.96257	1
MAP3K5	4	0.22635	1.9532	0.70296	0.99511	0.050799	0.47176	0.0060867	0.05186	0.25493	0.97109	0.95864	1
MAP3K6	2	2.2863	0.40902	0.82527	0.99515	0.68253	0.99608	0.40061	0.072082	0.81183	0.9943	0.94254	1
MAP3K7	3	4.4954	0.092025	0.25941	0.96267	0.92668	0.99608	2.4926	0.051026	0.24194	0.95406	0.95931	1
MAP3K8	3	-2.2432	-0.41097	0.25269	0.96267	0.68109	0.99608	2.2738	0.47922	0.34095	0.97823	0.63178	1
MAP3K9	4	4.8158	0.08865	0.11873	0.96267	0.92936	0.99608	1.7768	0.032673	0.50941	0.9943	0.97394	1
MAP4K1	2	2.5063	0.33919	0.79884	0.99511	0.73447	0.99608	-0.24561	-0.03233	0.35394	0.97823	0.97421	1
MAP4K2	4	0.25218	1.3746	0.76658	0.99511	0.16927	0.53062	0.014382	0.077435	0.40278	0.98251	0.93828	1
MAP4K3	3	-2.2398	-2.8983	0.25358	0.96267	0.0037513	0.16746	-4.2778	-5.5356	0.06586	0.92557	3.1017e-08	2.1635e-06
MAP4K4	1	-2.2498	-0.46833	0.47088	0.96267	0.63955	0.99608	1.7536	0.36452	0.9328	0.9943	0.71547	1
MAP4K5	3	5.0729	0.054958	0.12007	0.96267	0.95617	0.99608	1.6382	0.017745	0.64337	0.9943	0.98584	1
MAPK10	4	-3.2129	-2.3545	0.013889	0.68889	0.018547	0.41096	-0.59392	-0.55876	0.12814	0.92557	0.57633	1
MAPK11	4	0.38014	1.2264	0.9319	0.99764	0.22006	0.5985	0.15835	0.49583	0.8862	0.9943	0.62002	1
MAPK12	4	4.3318	0.13682	0.22849	0.96267	0.89117	0.99608	3.0734	0.097098	0.030466	0.92557	0.92265	1
MAPK13	6	0.1313	1.4568	0.1828	0.96267	0.14517	0.52303	0.04225	0.46195	0.73297	0.9943	0.64412	1
MAPK14	4	0.13375	1.4562	0.4198	0.96267	0.14533	0.52303	0.031256	0.33542	0.64023	0.9943	0.7373	1
MAPK15	3	-2.3647	-0.78265	0.20565	0.96267	0.43383	0.98007	1.8245	0.62458	0.556	0.9943	0.53224	1
MAPK1	4	0.1957	1.4236	0.62186	0.99511	0.15458	0.52303	0.01796	0.12892	0.4543	0.98739	0.89742	1
MAPK3	3	-2.5423	-1.3307	0.14471	0.96267	0.18328	0.55882	1.3286	0.73207	0.79391	0.9943	0.46412	1
MAPK4	4	3.8849	0.17321	0.35529	0.96267	0.86248	0.99608	1.98	0.088295	0.40636	0.98378	0.92964	1
MAPK6	2	-1.2863	-0.18225	0.72043	0.99511	0.85539	0.99608	2.5165	0.36079	0.34677	0.97823	0.71826	1
MAPK7	5	0.0034897	0.045683	0.21505	0.96267	0.96356	0.99608	0.11874	1.4782	0.8647	0.9943	0.13934	1
MAPK8IP1	8	1.7705	0.66231	0.6138	0.99419	0.50777	0.99608	1.7132	0.65368	0.36246	0.97823	0.51332	1
MAPK8IP2	3	3.3312	0.14278	0.55511	0.96732	0.88646	0.99608	3.2699	0.14049	0.02957	0.92557	0.88827	1
MAPK8IP3	4	5.1198	0.075518	0.070341	0.96267	0.9398	0.99608	1.0737	0.015817	0.78987	0.9943	0.98738	1
MAPK8	4	4.283	0.11392	0.24418	0.96267	0.9093	0.99608	2.7878	0.07417	0.082885	0.92557	0.94088	1
MAPK9	4	0.0055891	0.044312	0.32975	0.96267	0.96466	0.99608	0.24953	1.8837	0.9655	0.99909	0.0596	0.81611
MAPKAP1	7	0.30881	2.2506	0.76927	0.99511	0.024408	0.41586	0.015893	0.11449	0.15367	0.93333	0.90885	1
MAPKAPK2	4	3.9701	0.1552	0.33109	0.96267	0.87666	0.99608	2.0112	0.078662	0.39068	0.98251	0.9373	1
MAPKAPK3	3	4.2973	0.10724	0.31138	0.96267	0.9146	0.99608	1.4548	0.036302	0.73746	0.9943	0.97104	1
MAPKAPK5	4	4.3138	0.10522	0.23387	0.96267	0.9162	0.99608	2.3861	0.058202	0.2155	0.94325	0.95359	1
MAPKBP1	3	4.3366	0.094696	0.30063	0.96267	0.92456	0.99608	0.74472	0.015904	0.99642	0.9991	0.98731	1
MARCKS	2	5.0708	0.039284	0.18817	0.96267	0.96866	0.99608	2.7933	0.02164	0.22267	0.95029	0.98273	1
MARK1	5	1.8593	0.63112	0.69803	0.99511	0.52796	0.99608	0.47148	0.16319	0.92697	0.9943	0.87037	1
MARK2	8	0.32784	2.1615	0.79884	0.99511	0.030654	0.46048	0.046668	0.30419	0.7397	0.9943	0.76098	1
MARK3	7	0.2151	1.9197	0.39427	0.96267	0.0549	0.47176	0.055709	0.49065	0.92115	0.9943	0.62367	1
MARK4	5	0.27757	1.8661	0.76299	0.99511	0.06203	0.47481	0.039761	0.26414	0.68996	0.9943	0.79168	1
MASP2	3	0.42833	1.2266	0.95072	0.99765	0.21999	0.5985	0.059137	0.16482	0.69131	0.9943	0.86909	1
MAST1	8	3.2594	0.34713	0.36514	0.96267	0.7285	0.99608	2.0374	0.21717	0.20699	0.93915	0.82808	1
MAST2	4	3.5076	0.24604	0.45116	0.96267	0.80565	0.99608	0.42189	0.02941	0.9879	0.99909	0.97654	1
MAST3	4	0.58296	1.3038	0.93996	0.99764	0.1923	0.57457	0.16425	0.35927	0.89516	0.9943	0.7194	1
MAST4	4	2.1413	0.42793	0.69937	0.99511	0.6687	0.99608	1.3922	0.28243	0.68907	0.9943	0.77761	1
MASTL	1	5.3094	0.026631	0.32751	0.96267	0.97875	0.99608	2.0533	0.010299	0.80645	0.9943	0.99178	1
MAT1A	1	-2.0344	-1.5615	0.65323	0.99511	0.11841	0.52303	-4.753	-3.6568	0.16756	0.93333	0.00025536	0.0060635
MAT2A	3	4.1611	0.10796	0.35215	0.96267	0.91402	0.99608	0.40931	0.010404	0.90457	0.9943	0.9917	1
MATK	3	4.0774	0.12514	0.3741	0.96267	0.90041	0.99608	2.5388	0.077923	0.22401	0.95057	0.93789	1
MBL2	3	1.7916	0.55993	0.90502	0.99764	0.57552	0.99608	-3.4383	-0.87562	0.10842	0.92557	0.38124	1
MB	1	-1.1071	-0.032548	0.84229	0.99764	0.97403	0.99608	3.5708	0.10447	0.10797	0.92557	0.9168	1
MC2R	2	4.9012	0.054753	0.24014	0.96267	0.95634	0.99608	2.7732	0.030981	0.23208	0.95264	0.97529	1
MCCC1	3	-2.2946	-1.1608	0.23746	0.96267	0.24574	0.60412	1.4135	0.77938	0.75762	0.9943	0.43576	1
MCCC2	3	2.5615	0.26686	0.75806	0.99511	0.78957	0.99608	2.4729	0.25893	0.24955	0.96707	0.79569	1
MCFD2	6	0.16797	1.7537	0.27867	0.96267	0.079482	0.50832	0.0035381	0.036427	0.086918	0.92557	0.97094	1
ME2	2	0.013491	0.06186	0.80556	0.99511	0.95067	0.99608	0.31729	1.2907	0.77375	0.9943	0.19682	1
ME3	3	4.2903	0.10749	0.31362	0.96267	0.9144	0.99608	1.9476	0.048788	0.49373	0.99372	0.96109	1
MED1	1	-1.8933	-1.5027	0.75627	0.99511	0.13292	0.52303	-3.2468	-2.5644	0.78226	0.9943	0.010335	0.15077
MELK	3	3.4589	0.18262	0.52823	0.96267	0.8551	0.99608	-0.24136	-0.012595	0.22849	0.95264	0.98995	1
MERTK	4	0.33602	1.2539	0.88262	0.99764	0.20989	0.59705	0.1726	0.62385	0.90547	0.9943	0.53273	1
METAP1	4	3.8604	0.15826	0.3629	0.96267	0.87425	0.99608	0.067864	0.0027109	0.76613	0.9943	0.99784	1
MET	1	4.8798	0.037709	0.47222	0.96267	0.96992	0.99608	1.563	0.012078	0.9888	0.99909	0.99036	1
MGAM	4	3.9216	0.14965	0.34274	0.96267	0.88104	0.99608	1.5048	0.057258	0.64471	0.9943	0.95434	1
MGAT1	6	0.37271	1.2155	0.93907	0.99764	0.22418	0.59947	0.23693	0.74872	0.94489	0.99481	0.45403	1
MGST1	5	0.15894	1.7396	0.36783	0.96267	0.08193	0.51512	0.057332	0.61876	0.79122	0.9943	0.53608	1
MGST2	3	-2.2839	-1.1348	0.24104	0.96267	0.25648	0.62089	1.4144	0.76163	0.75762	0.9943	0.44628	1
MGST3	3	3.4429	0.21001	0.53405	0.96267	0.83366	0.99608	1.3797	0.084161	0.77195	0.9943	0.93293	1
MINK1	2	5.913	0.025645	0.043459	0.94231	0.97954	0.99608	1.4526	0.0062932	0.77867	0.9943	0.99498	1
MINPP1	2	0.20075	1.4182	0.96416	0.99866	0.15615	0.52303	0.00042993	0.0029992	0.45744	0.98838	0.99761	1
MKNK1	8	0.29276	1.837	0.65143	0.99511	0.066213	0.47939	0.045298	0.28085	0.70789	0.9943	0.77883	1
MKNK2	7	0.35649	1.8139	0.92787	0.99764	0.069696	0.49146	0.027253	0.13716	0.36649	0.98082	0.8909	1
MLKL	2	-2.5021	-1.1183	0.23566	0.96267	0.26346	0.63095	1.0084	0.51598	0.95296	0.99719	0.60587	1
MMAA	3	0.52537	1.5108	0.97222	0.99866	0.13085	0.52303	0.14569	0.40954	0.79659	0.9943	0.68215	1
MMAB	4	-2.5345	-2.899	0.11738	0.96267	0.0037434	0.16746	0.43099	0.5558	0.98656	0.99909	0.57835	1
MMACHC	1	-1.6523	-0.14628	0.91577	0.99764	0.8837	0.99608	2.5189	0.22228	0.57572	0.9943	0.8241	1
MME	5	4.4752	0.11985	0.16039	0.96267	0.9046	0.99608	0.88782	0.023534	0.819	0.9943	0.98122	1
MMP10	2	-2.5221	-1.7875	0.2276	0.96267	0.073859	0.4928	0.34917	0.27958	0.78943	0.9943	0.7798	1
MMP11	2	4.1201	0.11816	0.42742	0.96267	0.90594	0.99608	1.89	0.054201	0.62769	0.9943	0.95677	1
MMP12	3	0.18963	1.4286	0.77464	0.99511	0.15312	0.52303	2.667e-05	0.00019829	0.30152	0.97823	0.99984	1
MMP13	2	2.8703	0.26214	0.72625	0.99511	0.79321	0.99608	-0.32338	-0.028031	0.34901	0.97823	0.97764	1
MMP16	3	-1.9885	-0.54604	0.33826	0.96267	0.58504	0.99608	1.885	0.55176	0.52599	0.9943	0.58111	1
MMP17	3	0.12802	1.4782	0.57392	0.97563	0.13936	0.52303	0.0075501	0.085926	0.4086	0.98382	0.93153	1
MMP19	3	-2.1682	-0.78966	0.27688	0.96267	0.42973	0.97296	1.7674	0.68943	0.58871	0.9943	0.49055	1
MMP1	2	4.6973	0.053146	0.29301	0.96267	0.95762	0.99608	3.376	0.038202	0.05914	0.92557	0.96953	1
MMP20	3	0.14432	1.4648	0.66801	0.99511	0.14297	0.52303	0.01394	0.13951	0.48656	0.99372	0.88905	1
MMP21	2	5.3751	0.043474	0.12052	0.96267	0.96532	0.99608	-3.2833	-0.026563	0.28674	0.97823	0.97881	1
MMP24	4	0.28055	2.1161	0.82124	0.99511	0.034338	0.46048	0.012328	0.091901	0.35708	0.97823	0.92678	1
MMP25	2	5.8198	0.02933	0.051971	0.95902	0.9766	0.99608	1.2123	0.0060897	0.87276	0.9943	0.99514	1
MMP26	4	0.38035	1.2617	0.9319	0.99764	0.20707	0.59637	0.10929	0.35181	0.81944	0.9943	0.72498	1
MMP27	4	-2.007	-3.3883	0.23029	0.96267	0.00070324	0.078482	-3.4248	-5.7796	0.046147	0.92557	7.4868e-09	5.5702e-07
MMP28	2	4.37	0.068357	0.36514	0.96267	0.9455	0.99608	2.6372	0.041252	0.29167	0.97823	0.9671	1
MMP3	4	3.2228	0.25205	0.51837	0.96267	0.801	0.99608	1.0728	0.083798	0.79032	0.9943	0.93322	1
MMP7	4	0.58694	1.5274	0.93817	0.99764	0.12666	0.52303	0.12093	0.30778	0.83289	0.9943	0.75825	1
MMP8	2	-3.022	-3.102	0.03853	0.94231	0.0019223	0.12259	-1.1083	-1.1269	0.30869	0.97823	0.2598	1
MOCOS	2	4.7255	0.066268	0.28539	0.96267	0.94716	0.99608	2.8707	0.040258	0.18638	0.93333	0.96789	1
MOK	3	0.12396	1.4842	0.55869	0.96817	0.13777	0.52303	3.7006e-05	0.0004367	0.31272	0.97823	0.99965	1
MOS	1	-1.8788	-1.4933	0.77061	0.99511	0.13535	0.52303	-3.2323	-2.5566	0.78539	0.9943	0.010569	0.15318
MPRIP	5	0.29671	1.795	0.80511	0.99511	0.072655	0.49146	0.027559	0.16479	0.5224	0.9943	0.86911	1
MR1	2	3.2531	0.19502	0.64561	0.99511	0.84538	0.99608	-3.6318	-0.18463	0.26568	0.97823	0.85352	1
MS4A1	3	0.0015892	0.018011	0.48297	0.96267	0.98563	0.99608	0.1362	1.469	0.78629	0.9943	0.14183	1
MS4A2	4	-3.2433	-2.2968	0.012993	0.68889	0.02163	0.41293	-0.67887	-0.65007	0.11738	0.92557	0.51565	1
MSRA	5	3.4367	0.24057	0.42608	0.96267	0.80989	0.99608	1.5785	0.11062	0.54391	0.9943	0.91192	1
MST1R	3	0.37686	1.2443	0.91577	0.99764	0.2134	0.59705	0.17489	0.56106	0.82796	0.9943	0.57476	1
MST4	4	1.5786	0.39322	0.84633	0.99764	0.69416	0.99608	1.8588	0.46966	0.46774	0.9925	0.6386	1
MTAP	5	3.4782	0.26324	0.41622	0.96267	0.79236	0.99608	1.5251	0.11544	0.57392	0.9943	0.90809	1
MTFMT	2	0.13509	1.471	0.86783	0.99764	0.14129	0.52303	0.01286	0.1381	0.54301	0.9943	0.89016	1
MTHFD2	7	0.23131	1.8408	0.47133	0.96267	0.065646	0.4781	0.050326	0.39535	0.85708	0.9943	0.69258	1
MTM1	3	5.5533	0.039451	0.037634	0.94231	0.96853	0.99608	1.3707	0.0097311	0.77509	0.9943	0.99224	1
MTMR10	2	-1.5864	-0.49384	0.66532	0.99511	0.62142	0.99608	1.855	0.59331	0.63754	0.9943	0.55297	1
MTMR11	3	5.0215	0.059191	0.13172	0.96267	0.9528	0.99608	0.97846	0.011467	0.91711	0.9943	0.99085	1
MTMR12	4	5.4049	0.049847	0.030018	0.94231	0.96024	0.99608	2.6482	0.024422	0.12142	0.92557	0.98052	1
MTMR14	3	-2.5659	-1.4434	0.14068	0.96267	0.14891	0.52303	1.2942	0.74319	0.80556	0.9943	0.45737	1
MTMR1	5	1.0846	0.4944	0.86918	0.99764	0.62102	0.99608	1.4447	0.6994	0.61738	0.9943	0.4843	1
MTMR2	5	5.2844	0.072285	0.025538	0.90476	0.94237	0.99608	0.62907	0.0085766	0.88889	0.9943	0.99316	1
MTMR3	2	5.0837	0.054418	0.18414	0.96267	0.9566	0.99608	1.5308	0.016373	0.75045	0.9943	0.98694	1
MTMR4	8	0.24078	1.9456	0.42159	0.96267	0.051703	0.47176	0.05871	0.46834	0.93683	0.9943	0.63954	1
MTMR6	5	3.7361	0.21696	0.34767	0.96267	0.82824	0.99608	0.88241	0.050813	0.82079	0.9943	0.95947	1
MTMR7	4	1.4643	0.4641	0.86694	0.99764	0.64258	0.99608	1.6755	0.54217	0.5569	0.9943	0.5877	1
MTMR8	3	0.36693	1.2422	0.90815	0.99764	0.21417	0.59705	0.11883	0.39066	0.7612	0.9943	0.69605	1
MTMR9	5	1.7313	0.40518	0.72222	0.99511	0.68535	0.99608	2.278	0.5462	0.21192	0.94036	0.58493	1
MTNR1A	3	3.9353	0.15125	0.41667	0.96267	0.87978	0.99608	1.1471	0.043517	0.85977	0.9943	0.96529	1
MTNR1B	4	2.5959	0.24667	0.60484	0.98829	0.80516	0.99608	2.8305	0.27137	0.073925	0.92557	0.78611	1
MTOR	1	-1.4127	-0.04316	0.95699	0.99866	0.96557	0.99608	3.5332	0.10741	0.11694	0.92557	0.91446	1
MTRR	3	0.47837	1.1567	0.99328	0.99866	0.24741	0.60573	0.2318	0.54684	0.8517	0.9943	0.58449	1
MTR	4	0.22449	1.9655	0.69579	0.99511	0.049354	0.47176	0.010656	0.092117	0.32303	0.97823	0.92661	1
MTTP	4	-2.4453	-1.5534	0.13351	0.96267	0.12032	0.52303	1.1686	0.81006	0.76389	0.9943	0.41791	1
MUC2	4	5.1484	0.068328	0.064516	0.96267	0.94552	0.99608	3.0971	0.041104	0.028674	0.92557	0.96721	1
MURC	3	1.7405	0.57208	0.90995	0.99764	0.56727	0.99608	0.8909	0.30149	0.94982	0.99671	0.76304	1
MUSK	1	-3.6326	-1.6833	0.0053763	0.68421	0.092324	0.52303	1.0895	0.50004	0.93683	0.9943	0.61705	1
MUT	4	-2.9883	-1.8687	0.030914	0.94231	0.061661	0.47481	-0.66277	-0.53842	0.12007	0.92557	0.59028	1
MVK	2	-1.4807	-0.47879	0.68996	0.99511	0.63209	0.99608	1.4208	0.49847	0.78987	0.9943	0.61815	1
MYH14	4	2.1619	0.41491	0.69444	0.99511	0.67821	0.99608	1.5692	0.30743	0.61156	0.9943	0.75851	1
MYH7	7	0.17633	1.4325	0.23566	0.96267	0.152	0.52303	0.037056	0.29689	0.59453	0.9943	0.76655	1
MYL12A	5	0.23135	1.3933	0.625	0.99511	0.16353	0.52555	0.014517	0.086315	0.28002	0.97823	0.93122	1
MYL6B	4	0.16331	1.7776	0.51971	0.96267	0.075464	0.49686	0.0093647	0.10053	0.306	0.97823	0.91992	1
MYLK2	2	-1.9653	-0.2902	0.5336	0.96267	0.77166	0.99608	2.4855	0.37301	0.36066	0.97823	0.70914	1
MYLK3	6	2.7448	0.36959	0.54928	0.96732	0.71169	0.99608	2.3522	0.3185	0.14158	0.93333	0.75011	1
MYLK4	2	-2.9458	-1.6423	0.052419	0.95902	0.10053	0.52303	0.71464	0.43372	0.94355	0.9948	0.66449	1
MYLK	7	0.35425	2.4539	0.92115	0.99764	0.014132	0.36677	0.030728	0.21053	0.45385	0.98739	0.83325	1
MYO1D	4	1.6904	0.51259	0.8181	0.99511	0.60824	0.99608	1.2424	0.3837	0.74418	0.9943	0.7012	1
MYO3A	3	2.3926	0.34681	0.79839	0.99511	0.72873	0.99608	1.8663	0.2761	0.53405	0.9943	0.78247	1
MYO3B	2	0.14547	1.4635	0.89203	0.99764	0.14332	0.52303	0.0057916	0.057474	0.47984	0.99259	0.95417	1
NADK	5	0.16996	1.4237	0.3983	0.96267	0.15454	0.52303	0.041128	0.33978	0.70565	0.9943	0.73402	1
NADSYN1	4	0.49853	1.1609	0.95341	0.99812	0.24567	0.60412	0.099672	0.22627	0.80645	0.9943	0.82099	1
NAGA	5	0.24394	1.835	0.66622	0.99511	0.066499	0.47939	0.034657	0.25747	0.64068	0.9943	0.79682	1
NAGK	2	-1.7386	-1.9856	0.62545	0.99511	0.047079	0.47176	-4.2806	-4.8899	0.15905	0.93333	1.0087e-06	4.0203e-05
NAGLU	5	0.36054	1.2762	0.90143	0.99764	0.20189	0.59059	0.080672	0.27666	0.82348	0.9943	0.78204	1
NAGPA	4	-2.758	-2.5658	0.062724	0.96267	0.010293	0.30271	0.67556	0.70304	0.91756	0.9943	0.48203	1
NAGS	8	0.24842	2.2733	0.45341	0.96267	0.023008	0.41293	0.042405	0.38315	0.63665	0.9943	0.70161	1
NAPB	2	5.558	0.029469	0.08871	0.96267	0.97649	0.99608	1.1741	0.006225	0.8862	0.9943	0.99503	1
