	Diff	Lower	Upper
	Rep1	Rep1	Rep1
sgId			
ADRA2C_+_3768074.23-P1P2	929	2	2485
ADRA2C_+_3768082.23-P1P2	3810	6	3654
ADRA2C_+_3768098.23-P1P2	515	0	2
ADRA2C_-_3767700.23-P1P2	0	0	0
ADRA2C_-_3767888.23-P1P2	1902	1	2
ADRB1_+_115804002.23-P1P2	0	0	0
ADRB1_-_115803895.23-P1P2	3247	1672	638
ADRB1_-_115804061.23-P1P2	3052	5026	6959
ADRB1_-_115804069.23-P1P2	824	3	2127
ADRB1_-_115804075.23-P1P2	1474	3079	1518
ADRB2_+_148206220.23-P1P2	5724	2091	1899
ADRB2_+_148206227.23-P1P2	2988	4929	2
ADRB2_-_148206186.23-P1P2	2842	1	3132
ADRB2_-_148206207.23-P1P2	2270	1	1894
ADRB2_-_148206413.23-P1P2	1091	3	1
ADRB3_+_37822768.23-P1P2	1184	3069	1493
ADRB3_-_37822919.23-P1P2	1411	1	1222
ADRB3_-_37823380.23-P1P2	524	0	3710
ADRB3_-_37823667.23-P1P2	1374	5864	3408
ADRB3_-_37823742.23-P1P2	1526	0	2080
ADRBK1_+_67033933.23-P1P2	1368	4502	2756
ADRBK1_+_67034195.23-P1P2	0	0	0
ADRBK1_+_67034566.23-P1P2	5219	2	2
ADRBK1_-_67033953.23-P1P2	0	0	0
ADRBK1_-_67034001.23-P1P2	1965	2	1319
ADRBK2_+_25960616.23-P1P2	5097	5465	7756
ADRBK2_-_25960625.23-P1P2	4125	2776	1876
ADRBK2_-_25960628.23-P1P2	0	0	0
ADRBK2_-_25960707.23-P1P2	4335	6	3139
ADRBK2_-_25960854.23-P1P2	2207	1	57
ADSSL1_+_105190776.23-P1P2	3415	8	3195
ADSSL1_+_105190789.23-P1P2	4707	3	1492
ADSSL1_+_105190984.23-P1P2	1455	1	1
ADSSL1_-_105190591.23-P1P2	2586	1563	1695
ADSSL1_-_105190615.23-P1P2	2686	4807	1867
AFG3L2_+_12377215.23-P1P2	0	0	0
AFG3L2_-_12377072.23-P1P2	0	0	0
AFG3L2_-_12377209.23-P1P2	0	0	0
