Gene	sgRNA	Lower|beta	Lower|z	Lower|p-value	Lower|fdr	Lower|wald-p-value	Lower|wald-fdr	Upper|beta	Upper|z	Upper|p-value	Upper|fdr	Upper|wald-p-value	Upper|wald-fdr
AHCY	4	3.1392	0.29071	0.54501	0.96351	0.77127	0.99584	1.7083	0.1588	0.52709	0.98512	0.87382	1
AK1	4	3.0977	0.28028	0.54993	0.96351	0.77926	0.99584	1.8126	0.16409	0.47425	0.97525	0.86966	1
AK2	3	3.3688	0.16181	0.53739	0.96351	0.87146	0.99584	2.4716	0.11886	0.24631	0.96571	0.90538	1
AK3	5	0.20918	1.9903	0.54769	0.96351	0.046554	0.45508	0.005756	0.054067	0.16256	0.96571	0.95688	1
AK4	5	0.31187	1.7875	0.84102	0.99211	0.07386	0.48296	0.018177	0.10302	0.35871	0.96571	0.91795	1
AK5	5	0.2715	1.8785	0.75728	0.99211	0.060316	0.45508	0.023622	0.16151	0.46261	0.97525	0.87169	1
AK7	2	4.9244	0.045487	0.23377	0.96351	0.96372	0.99584	2.9465	0.027217	0.17152	0.96571	0.97829	1
AK8	3	-2.215	-0.62747	0.26288	0.96351	0.53035	0.99584	1.9282	0.5935	0.485	0.98098	0.55285	1
AKAP10	4	4.2851	0.13228	0.23914	0.96351	0.89476	0.99584	0.91052	0.028009	0.86923	0.99612	0.97765	1
AKAP11	3	0.39845	1.2111	0.93686	0.99483	0.22587	0.57512	0.13922	0.41148	0.81236	0.99612	0.68072	1
AKAP12	7	3.6216	0.30596	0.3099	0.96351	0.75963	0.99584	0.86956	0.07307	0.72459	0.99612	0.94175	1
AKAP13	5	1.4366	0.26126	0.77429	0.99211	0.79389	0.99584	2.5488	0.48869	0.10524	0.96571	0.62506	1
AKAP14	4	0.14123	1.4596	0.44201	0.96351	0.14439	0.50888	0.030158	0.30735	0.60725	0.99486	0.75858	1
AKAP1	3	4.7879	0.062177	0.17197	0.96351	0.95042	0.99584	2.7903	0.036235	0.12405	0.96571	0.9711	1
AKAP3	4	0.12386	1.4748	0.35378	0.96351	0.14027	0.50888	0.02641	0.30995	0.56426	0.98776	0.7566	1
