sgRNA	Gene	Diff	Lower	Upper
ADORA1_+_203097450.23-P1P2	ADORA1	4065	4	2249
ADORA1_+_203097472.23-P1P2	ADORA1	2888	4647	2498
ADORA2A_+_24820308.23-P1P2	ADORA2A	2445	8	5521
ADORA2A_-_24819888.23-P1P2	ADORA2A	1992	2062	2
ADORA2A_-_24819947.23-P1P2	ADORA2A	1659	4739	1633
ADORA2B_+_15848686.23-P1P2	ADORA2B	1693	4	3063
ADORA2B_-_15848659.23-P1P2	ADORA2B	5207	2188	2
ADORA2B_-_15848949.23-P1P2	ADORA2B	1657	2	1734
ADORA3_+_112031386.23-P1	ADORA3	32	3282	1885
ADORA3_+_112031411.23-P1	ADORA3	887	0	0
ADORA3_+_112031418.23-P1	ADORA3	1368	3	862
ADORA3_+_112046055.23-P2	ADORA3	1633	3	1871
ADORA3_+_112046115.23-P2	ADORA3	629	0	0
ADRA1A_+_26724406.23-P1P2	ADRA1A	5227	3001	4171
ADRA1A_-_26724311.23-P1P2	ADRA1A	1415	1	3640
ADRA1A_-_26724340.23-P1P2	ADRA1A	371	0	0
ADRA1A_-_26724356.23-P1P2	ADRA1A	5495	4	0
ADRA1B_+_159343520.23-P1P2	ADRA1B	4369	4	1973
ADRA1B_+_159344209.23-P1P2	ADRA1B	2700	0	2235
ADRA1B_-_159343504.23-P1P2	ADRA1B	6041	5738	1607
ADRA1B_-_159343900.23-P1P2	ADRA1B	1152	2682	1
ADRA1D_+_4229485.23-P1P2	ADRA1D	1359	9	3993
ADRA1D_-_4229250.23-P1P2	ADRA1D	2844	2	2
ADRA1D_-_4229495.23-P1P2	ADRA1D	2385	939	1575
ADRA1D_-_4229926.23-P1P2	ADRA1D	421	3188	1295
ADRA2A_-_112837142.23-P1P2	ADRA2A	2959	1	2
ADRA2A_-_112837201.23-P1P2	ADRA2A	2019	5	3393
ADRA2A_-_112837238.23-P1P2	ADRA2A	843	0	0
ADRA2A_-_112837251.23-P1P2	ADRA2A	3317	0	0
ADRA2B_+_96781839.23-P1P2	ADRA2B	2506	7	3313
ADRA2B_-_96782246.23-P1P2	ADRA2B	1207	0	0
ADRA2C_+_3768074.23-P1P2	ADRA2C	957	2	2570
ADRA2C_+_3768082.23-P1P2	ADRA2C	3942	6	3790
ADRA2C_+_3768098.23-P1P2	ADRA2C	536	0	2
ADRA2C_-_3767888.23-P1P2	ADRA2C	1943	1	2
ADRB1_-_115803895.23-P1P2	ADRB1	3330	1737	652
ADRB1_-_115804061.23-P1P2	ADRB1	3174	5168	7154
ADRB1_-_115804069.23-P1P2	ADRB1	855	3	2191
ADRB1_-_115804075.23-P1P2	ADRB1	1519	3167	1581
ADRB2_+_148206220.23-P1P2	ADRB2	5883	2197	1937
ADRB2_+_148206227.23-P1P2	ADRB2	3057	5085	2
ADRB2_-_148206186.23-P1P2	ADRB2	2952	2	3222
ADRB2_-_148206207.23-P1P2	ADRB2	2349	1	1966
ADRB2_-_148206413.23-P1P2	ADRB2	1139	3	1
ADRB3_+_37822768.23-P1P2	ADRB3	1227	3119	1533
ADRB3_-_37822919.23-P1P2	ADRB3	1476	1	1254
ADRB3_-_37823380.23-P1P2	ADRB3	523	1	3788
ADRB3_-_37823667.23-P1P2	ADRB3	1408	6111	3489
ADRB3_-_37823742.23-P1P2	ADRB3	1571	0	2133
ADRBK1_+_67033933.23-P1P2	ADRBK1	1424	4656	2862
ADRBK1_+_67034566.23-P1P2	ADRBK1	5413	3	2
ADRBK1_-_67034001.23-P1P2	ADRBK1	2022	2	1357
ADRBK2_+_25960616.23-P1P2	ADRBK2	5283	5642	7998
ADRBK2_-_25960625.23-P1P2	ADRBK2	4246	2869	1950
ADRBK2_-_25960707.23-P1P2	ADRBK2	4453	6	3263
ADRBK2_-_25960854.23-P1P2	ADRBK2	2299	1	57
ADSSL1_+_105190776.23-P1P2	ADSSL1	3574	10	3313
ADSSL1_+_105190789.23-P1P2	ADSSL1	4870	3	1552
ADSSL1_+_105190984.23-P1P2	ADSSL1	1499	2	1
ADSSL1_-_105190591.23-P1P2	ADSSL1	2664	1602	1748
ADSSL1_-_105190615.23-P1P2	ADSSL1	2787	4942	1932
AGTR1_+_148416039.23-P1P2	AGTR1	1626	2	2
AGTR1_+_148416061.23-P1P2	AGTR1	1571	2	2080
AGTR1_-_148415748.23-P1P2	AGTR1	1093	1	2
AGTR2_+_115301983.23-P1P2	AGTR2	1775	0	1
AGTR2_-_115302383.23-P1P2	AGTR2	1480	1	0
AGXT2_-_35047934.23-P1P2	AGXT2	2747	1	1624
AGXT_+_241808286.23-P1P2	AGXT	2795	1	0
AGXT_+_241808483.23-P1P2	AGXT	117	0	0
AGXT_-_241808273.23-P1P2	AGXT	878	0	0
AHCY_-_32890731.23-P1P2	AHCY	1182	1518	2055
AHCY_-_32890950.23-P1P2	AHCY	1514	2	4
AHCY_-_32891095.23-P1P2	AHCY	3535	5042	3560
AHCY_-_32891145.23-P1P2	AHCY	1818	0	1639
AK1_+_130639930.23-P1P2	AK1	2502	3	1363
AK1_+_130639945.23-P1P2	AK1	2139	1396	1182
AK1_-_130639710.23-P1P2	AK1	2616	0	1238
AK1_-_130639906.23-P1P2	AK1	2548	2717	1478
AK2_+_33502042.23-P1P2	AK2	1439	2	991
AK2_+_33502194.23-P1P2	AK2	1157	3	2337
AK2_+_33502475.23-P1P2	AK2	1106	2264	1
AK3_+_4740766.23-P1P2	AK3	3156	4	5
AK3_+_4740798.23-P1P2	AK3	5164	3	1
AK3_-_4740765.23-P1P2	AK3	2631	4664	1466
AK3_-_4741156.23-P1P2	AK3	1249	3956	5
AK3_-_4741205.23-P1P2	AK3	3236	0	2
AK4_+_65613321.23-P1P2	AK4	4050	2	3
AK4_+_65614269.23-P1P2	AK4	6556	10356	3501
AK4_-_65613240.23-P1P2	AK4	773	0	0
AK4_-_65613440.23-P1P2	AK4	1731	4966	1556
AK4_-_65613504.23-P1P2	AK4	1264	0	0
AK5_-_77747738.23-P1P2	AK5	2457	7623	1949
AK5_-_77747887.23-P1P2	AK5	502	0	0
AK5_-_77748084.23-P1P2	AK5	462	3	2195
AK5_-_77748096.23-P1P2	AK5	1179	1	1692
AK5_-_77748351.23-P1P2	AK5	86	4735	3
AK7_+_96858465.23-P1P2	AK7	2504	9234	1304
AK7_+_96858485.23-P1P2	AK7	932	3	2220
AK8_-_135753610.23-P1P2	AK8	1000	0	0
AK8_-_135753634.23-P1P2	AK8	3571	3	2658
AK8_-_135754341.23-P1P2	AK8	1352	4	3771
AKAP10_+_19881070.23-P1P2	AKAP10	967	1030	3
AKAP10_+_19881078.23-P1P2	AKAP10	1792	1	1381
AKAP10_+_19881106.23-P1P2	AKAP10	2765	2847	1
AKAP10_+_19881129.23-P1P2	AKAP10	5484	4408	1524
AKAP11_+_42846358.23-P1P2	AKAP11	2222	1	2
AKAP11_+_42846376.23-P1P2	AKAP11	816	3418	6933
AKAP11_+_42846688.23-P1P2	AKAP11	820	0	1
AKAP12_+_151561539.23-P1	AKAP12	1322	659	844
AKAP12_+_151646850.23-P2	AKAP12	293	5686	2089
AKAP12_+_151647266.23-P2	AKAP12	2725	1	1
AKAP12_-_151561572.23-P1	AKAP12	2560	3552	3612
AKAP12_-_151561599.23-P1	AKAP12	2683	1724	1
AKAP12_-_151562006.23-P1	AKAP12	1265	0	1
AKAP12_-_151646835.23-P2	AKAP12	3521	8000	3245
AKAP13_+_85923789.23-P1P2	AKAP13	2415	3	3789
AKAP13_+_85923863.23-P1P2	AKAP13	5220	1737	3242
AKAP13_+_85923876.23-P1P2	AKAP13	722	0	1366
AKAP13_+_85924198.23-P1P2	AKAP13	1121	6	3499
AKAP13_+_85924290.23-P1P2	AKAP13	1446	1	1
AKAP14_+_119030176.23-P1P2	AKAP14	2988	5662	1935
AKAP14_+_119030185.23-P1P2	AKAP14	1026	3	1733
AKAP14_+_119030227.23-P1P2	AKAP14	3597	1	3741
AKAP14_+_119030337.23-P1P2	AKAP14	1539	1	2
AKAP1_+_55162988.23-P1P2	AKAP1	1239	7377	4
AKAP1_+_55162999.23-P1P2	AKAP1	2193	7	2262
AKAP1_+_55163111.23-P1P2	AKAP1	1929	1797	6111
AKAP3_+_4757792.23-P1	AKAP3	94	0	0
AKAP3_+_4757813.23-P1	AKAP3	1415	4787	1503
AKAP3_-_4754189.23-P2	AKAP3	2781	1	1861
AKAP3_-_4754248.23-P2	AKAP3	1305	5	3041
AKAP4_+_49965047.23-P1P2	AKAP4	506	2	1
AKAP4_+_49965636.23-P1P2	AKAP4	1703	7375	1150
AKAP5_+_64932286.23-P1P2	AKAP5	1090	1	2138
AKAP5_-_64932236.23-P1P2	AKAP5	987	1	2969
AKAP5_-_64932248.23-P1P2	AKAP5	1322	1	1732
AKAP6_-_32798545.23-P1P2	AKAP6	1621	1	2061
AKAP7_+_131456600.23-P1P2	AKAP7	1051	2	2728
AKAP7_+_131456616.23-P1P2	AKAP7	5844	8953	454
AKAP7_-_131456586.23-P1P2	AKAP7	2329	3922	529
AKAP7_-_131456595.23-P1P2	AKAP7	2821	5672	3506
AKAP7_-_131456599.23-P1P2	AKAP7	4992	4003	1807
AKAP8L_+_15529720.23-P1P2	AKAP8L	555	2118	2
AKAP8L_+_15529754.23-P1P2	AKAP8L	2335	9	3545
AKAP8L_-_15529435.23-P1P2	AKAP8L	1779	1	0
AKAP8_+_15490522.23-P1P2	AKAP8	1611	5304	1685
AKAP8_+_15490538.23-P1P2	AKAP8	2424	5	1845
AKAP8_+_15490555.23-P1P2	AKAP8	1892	1	0
AKAP8_+_15490566.23-P1P2	AKAP8	1524	2380	1973
AKAP9_+_91570225.23-P1P2	AKAP9	2587	5	2142
AKAP9_+_91570245.23-P1P2	AKAP9	4942	1	2
AKAP9_+_91570248.23-P1P2	AKAP9	4255	2	2122
AKAP9_-_91570233.23-P1P2	AKAP9	3893	2348	0
AKR1A1_+_46017142.23-P1P2	AKR1A1	1221	3001	3
AKR1A1_-_46016934.23-P1P2	AKR1A1	3540	1	1151
AKR1B10_+_134212298.23-P1P2	AKR1B10	2648	1	1840
AKR1B10_+_134212752.23-P1P2	AKR1B10	1176	1	3003
AKR1B10_-_134212336.23-P1P2	AKR1B10	1989	5433	2
AKR1B1_+_134143398.23-P1P2	AKR1B1	2623	2	1331
AKR1B1_+_134143462.23-P1P2	AKR1B1	3991	0	1
AKR1B1_+_134143839.23-P1P2	AKR1B1	2173	5719	837
AKR1B1_-_134143472.23-P1P2	AKR1B1	1762	2983	1963
AKR1B1_-_134143848.23-P1P2	AKR1B1	5305	1612	1545
