Gene	sgRNA	eff
ADRB3	ADRB3_+_37822768.23-P1P2	1
ADRB3	ADRB3_-_37822919.23-P1P2	1
ADRB3	ADRB3_-_37823380.23-P1P2	1
ADRB3	ADRB3_-_37823667.23-P1P2	1
ADRB3	ADRB3_-_37823742.23-P1P2	1
ADRBK1	ADRBK1_+_67033933.23-P1P2	1
ADRBK1	ADRBK1_+_67034566.23-P1P2	1
ADRBK1	ADRBK1_-_67034001.23-P1P2	1
ADRBK2	ADRBK2_+_25960616.23-P1P2	1
ADRBK2	ADRBK2_-_25960625.23-P1P2	1
ADRBK2	ADRBK2_-_25960707.23-P1P2	1
ADRBK2	ADRBK2_-_25960854.23-P1P2	1
ADSSL1	ADSSL1_+_105190776.23-P1P2	1
ADSSL1	ADSSL1_+_105190789.23-P1P2	1
ADSSL1	ADSSL1_+_105190984.23-P1P2	1
ADSSL1	ADSSL1_-_105190591.23-P1P2	1
ADSSL1	ADSSL1_-_105190615.23-P1P2	1
AGTR1	AGTR1_+_148416039.23-P1P2	1
AGTR1	AGTR1_+_148416061.23-P1P2	1
AGTR1	AGTR1_-_148415748.23-P1P2	1
AGTR2	AGTR2_+_115301983.23-P1P2	1
AGTR2	AGTR2_-_115302383.23-P1P2	1
AGXT2	AGXT2_-_35047934.23-P1P2	1
AGXT	AGXT_+_241808286.23-P1P2	1
AGXT	AGXT_+_241808483.23-P1P2	1
AGXT	AGXT_-_241808273.23-P1P2	1
AHCY	AHCY_-_32890731.23-P1P2	1
AHCY	AHCY_-_32890950.23-P1P2	1
AHCY	AHCY_-_32891095.23-P1P2	1
AHCY	AHCY_-_32891145.23-P1P2	1
AK1	AK1_+_130639930.23-P1P2	1
AK1	AK1_+_130639945.23-P1P2	1
AK1	AK1_-_130639710.23-P1P2	1
AK1	AK1_-_130639906.23-P1P2	1
AK2	AK2_+_33502042.23-P1P2	1
AK2	AK2_+_33502194.23-P1P2	1
AK2	AK2_+_33502475.23-P1P2	1
AK3	AK3_+_4740766.23-P1P2	1
AK3	AK3_+_4740798.23-P1P2	1
AK3	AK3_-_4740765.23-P1P2	1
AK3	AK3_-_4741156.23-P1P2	1
AK3	AK3_-_4741205.23-P1P2	1
AK4	AK4_+_65613321.23-P1P2	1
AK4	AK4_+_65614269.23-P1P2	1
AK4	AK4_-_65613240.23-P1P2	1
AK4	AK4_-_65613440.23-P1P2	1
AK4	AK4_-_65613504.23-P1P2	1
AK5	AK5_-_77747738.23-P1P2	1
AK5	AK5_-_77747887.23-P1P2	1
AK5	AK5_-_77748084.23-P1P2	1
AK5	AK5_-_77748096.23-P1P2	1
AK5	AK5_-_77748351.23-P1P2	1
AK7	AK7_+_96858465.23-P1P2	1
AK7	AK7_+_96858485.23-P1P2	1
AK8	AK8_-_135753610.23-P1P2	1
AK8	AK8_-_135753634.23-P1P2	1
AK8	AK8_-_135754341.23-P1P2	1
AKAP10	AKAP10_+_19881070.23-P1P2	1
AKAP10	AKAP10_+_19881078.23-P1P2	1
AKAP10	AKAP10_+_19881106.23-P1P2	1
AKAP10	AKAP10_+_19881129.23-P1P2	1
AKAP11	AKAP11_+_42846358.23-P1P2	1
AKAP11	AKAP11_+_42846376.23-P1P2	1
AKAP11	AKAP11_+_42846688.23-P1P2	1
AKAP12	AKAP12_+_151561539.23-P1	1
AKAP12	AKAP12_+_151646850.23-P2	1
AKAP12	AKAP12_+_151647266.23-P2	1
AKAP12	AKAP12_-_151561572.23-P1	1
AKAP12	AKAP12_-_151561599.23-P1	1
AKAP12	AKAP12_-_151562006.23-P1	1
AKAP12	AKAP12_-_151646835.23-P2	1
AKAP13	AKAP13_+_85923789.23-P1P2	1
AKAP13	AKAP13_+_85923863.23-P1P2	1
AKAP13	AKAP13_+_85923876.23-P1P2	1
AKAP13	AKAP13_+_85924198.23-P1P2	1
AKAP13	AKAP13_+_85924290.23-P1P2	1
AKAP14	AKAP14_+_119030176.23-P1P2	1
AKAP14	AKAP14_+_119030185.23-P1P2	1
AKAP14	AKAP14_+_119030227.23-P1P2	1
AKAP14	AKAP14_+_119030337.23-P1P2	1
AKAP1	AKAP1_+_55162988.23-P1P2	1
AKAP1	AKAP1_+_55162999.23-P1P2	1
AKAP1	AKAP1_+_55163111.23-P1P2	1
AKAP3	AKAP3_+_4757792.23-P1	1
AKAP3	AKAP3_+_4757813.23-P1	1
AKAP3	AKAP3_-_4754189.23-P2	1
