	differentiation	lower	upper	upper_vs_lower
	Rep1	Rep1	Rep1	Rep1
sgId				
ACCS_+_44088028.23-P1P2	-0.44876191889842587	0.3912936178565669	-8.865472262708	
ACCS_+_44088091.23-P1P2	1.5420840778911504	9.065902734769018	0.1332393203261509	-8.774347816169286
ACCS_+_44088215.23-P1P2	-8.72480608306244			
ACCS_-_44088090.23-P1P2	-0.33525340997461184	10.813322173967606	-7.994258569356825	-18.64926514505085
ACE2_+_15619016.23-P1P2	-8.233735147251185			
ACE2_+_15619087.23-P1P2	2.232341314145067	-1.2512563744175331	-9.505847883747762	
ACE2_-_15618594.23-P1P2	-6.987691457850093	18.501526753667022	7.993382945903182	-10.34982820949026
ACE2_-_15618975.23-P1P2	-8.65426027216846			
ACE2_-_15619013.23-P1P2	2.2566871825196193	-2.8665634841346854	-10.121154993464913	
ACE_+_61554448.23-P1	1.9869123350957318	-0.9175189772405368	-0.4613040528714151	0.6145305226427045
ACE_+_61554829.23-P1	1.032555877367785	7.468510860557361	-1.4485598783241256	-8.758755140607905
ACE_+_61562272.23-P2	-0.07230127718041296	-1.790430173708483	0.31911297196933974	2.267858743951404
ACE_+_61562293.23-P2	-6.128848575083351	18.287720634026165	8.074669246999239	-10.054735788753348
ACE_-_61554428.23-P1	0.6849326161336864	-0.18712603699781738	0.7175231040836259	1.0629647393550243
ACE_-_61554458.23-P1	1.9120344187239198	-1.3789693949746589	0.43118186044536827	1.9684668536936076
ACE_-_61554461.23-P1	1.0515666822824514	9.38970599392051	1.2775815524387752	-7.9538088432081535
ACE_-_61562238.23-P2	2.273880089525597	-2.8514709589989433	-12.106292324944155	
ACE_-_61562443.23-P2	2.3490179707969876	-2.357374839370877	-10.611966348701106	
ACE_-_61562661.23-P2	-8.548608484604596		10.136188820997296	2.5303457413017227
ACHE_+_100493456.23-P1	0.10121542842976533	10.557840541454198	2.8393431253489725	-7.5601818178316424
ACHE_+_100493473.23-P1	-0.805114487192272	-1.2159808996700026	-9.470572409000232	
ACHE_+_100494559.23-P2	1.0959337426877829	9.219162584565643	-8.629131275049902	-17.689978261341963
ACHE_+_100494570.23-P2	1.348920347885786	8.350610098037157	-4.858177721679948	-13.050472221443524
ACHE_-_100493122.23-P1	-7.468640179901183	21.007035045135552		-20.3394498945296
ACHE_-_100493427.23-P1	-8.847726696583873			
ACHE_-_100493486.23-P1	0.46679320757723763	-0.2838740184526465	-0.9736809089993508	-0.5314912922731221
ACHE_-_100494233.23-P2	0.9844771204014995	-1.7856259899787048	-10.040217499308934	
ACHE_-_100494236.23-P2	-0.48241203655586906	0.30609389509576346	1.6483133238531853	1.5005350270310043
ACHE_-_100494578.23-P2	-0.055431954845380715	0.28264752586093955	1.5853829503376655	1.4610510227503077
ACOT13_+_24667341.23-P1P2	1.624550735319921	9.373781093038655	-9.385629403924414	-18.60109489868949
ACOT13_-_24667329.23-P1P2	-0.028853995886828465	9.820556662635068	0.2773701667277244	-9.384870897633762
ACOT13_-_24667371.23-P1P2	0.3834606739999176	-1.6462926735348393	-9.899823767498777	
ACOT13_-_24667386.23-P1P2	-7.818697647972342			
ACOT13_-_24667473.23-P1P2	1.3683614321000483	8.711577646621569	0.6483714221635016	-7.904890626184486
ACOX1_+_73975227.23-P1P2	-8.461896851411266	18.26639379282595		-18.920439120800808
ACOX1_-_73975169.23-P1P2	0.5773503487478036	10.599301475679226	0.3040485658668735	-10.136937311538771
ACOX1_-_73975193.23-P1P2	1.8996809977023994	-1.9275848412021208	-9.597213849811194	
ACOX1_-_73975196.23-P1P2	-0.27394265048011035	-1.5350493404181247	-8.204678349027198	
ACOX1_-_73975245.23-P1P2	0.3749320893393431	9.038737927536866	-9.29133273128138	-18.171755060544665
ACP1_+_264980.23-P1P2	0.6519198321896715	-1.5115778539216773	-1.102018411259334	0.5678750409359239
ACP1_+_265303.23-P1P2	-6.98209165120426			
ACP1_-_264967.23-P1P2	0.13717524022191688	10.992001945369408	2.403099381392425	-8.430586965703402
ACP1_-_264970.23-P1P2				
ACP1_-_265107.23-P1P2	3.8666315272297913	8.364751830404074	-9.555175596111331	-17.761611828241826
ACP2_+_47270320.23-P1P2	-9.330482436253	18.832265153827926		-19.16438238691542
ACP2_+_47270332.23-P1P2				
ACP2_-_47269915.23-P1P2	1.7810413212591645	-2.7711166986516496	-0.20234096793564288	2.7270913289895873
ACP2_-_47269958.23-P1P2	-0.02727573113099202	-1.5453176758719511	-9.79990918520218	
ACP2_-_47270385.23-P1P2	-8.981218613331391			
ACP5_+_11688472.23-P1	2.8795522555529445	-1.969704041709388	-0.6498009655537154	1.4792633357778833
ACP5_-_11688086.23-P1	1.6594235172568474	-0.5723478818411003	0.4269080938160742	1.1575715739307562
