	lower	lower	lower	lower	upper	upper	upper	upper
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1
	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
gene								
AVPR1B	0.030678977870879014	10.297082693711435	4	4	0.5488924899213611	-5.2525614414783695	4	4
AVPR2	0.2835597010259645	6.801990874301741	4	4	0.14503171248911778	-0.9011094187385583	4	4
AXL	0.8384799433425073	-0.23383879647711758	3	3	0.4914814756545792	-5.574254418782572	3	3
AZGP1	0.1047426150328227	-1.4809419457085866	4	4	0.4188644811189639	-9.124559733988663	4	4
B2M	0.749885058512247	3.4161365355285014	8	8	0.16324780930432103	-5.139376644283643	8	8
B4GALT1	0.8684571605169031	0.15461029020220587	3	3	0.7890550867689189	-1.722783630630337	3	3
B4GALT2	0.24719020489198174	-1.1634746927349957	5	5	0.6032307220351634	-5.24496052062082	5	5
B4GALT3	0.10566999399141129	-1.361245757396291	3	3	0.0505151615837208	-9.26931033506714	3	3
B4GALT4	0.619290881697329	5.5738619841800885	3	3	0.1573241588148443	-8.457970716004747	3	3
BACE1	0.1141650422536768	-1.291944211706469	3	3	0.0665731107387651	-6.840086988357388	3	3
BAG1	0.8907975854497414	5.019688726066244	5	5	0.6732496705281437	-5.973827364986072	5	5
BAIAP2L1	0.7404654225059137	-0.2369884966493192	3	3	0.117112979797992	1.4188057345560503	3	3
BBOX1	0.8907975854497414	6.302101187126449	5	5	0.5302431017155851	-8.896541780601991	5	5
BCAT2	0.7372816769863606	5.864141061993986	4	4	0.37004922618600733	-6.755518609056274	4	4
BCKDK	0.08545338789767065	-1.5902821034095673	3	3	0.2568571262585798	-6.073892301441485	3	3
BCR	0.17910038601767853	9.439500751246136	5	5	0.12126786358221063	-1.266190327654509	5	5
BDH1	0.2732742183252418	5.560672521539686	7	7	0.6037978661702059	-9.99228905052155	7	7
BDKRB2	0.8285371673906146	2.9150241878942698	3	3	0.3329284331626574	-1.3617950660907152	3	3
BEGAIN	0.2159627269371317	6.8045114930677295	4	4	0.34702507347149536	-1.9553483915629657	4	4
BGLAP	0.7601970723197148	4.550256333310018	2	2	0.26307690821799	-8.442865860861623	2	2
BHMT	0.6835112718213798	3.2091595515799107	3	3	0.43707988539831577	-1.849049044059779	3	3
BHMT2	0.3142396258958394	1.5276343579383376	4	4	0.804546679542733	-4.881261478293036	4	4
