	Diff	Lower	Upper
	Rep1	Rep1	Rep1
	/projects/health_sciences/bms/biochemistry/hughes_lab/AlixGibson/Final_ScreenProcessing/ScreenProcessing/R2/step1/output/count_files/21062D-07-04_S105_L006_R2_001_CRISPRi_v2_human.trim_1_39_reverse.fa_h1_top5_Diff20.counts	/projects/health_sciences/bms/biochemistry/hughes_lab/AlixGibson/Final_ScreenProcessing/ScreenProcessing/R2/step1/output/count_files/21062D-07-02_S103_L006_R2_001_CRISPRi_v2_human.trim_1_39_reverse.fa_h1_top5_Diff20.counts	/projects/health_sciences/bms/biochemistry/hughes_lab/AlixGibson/Final_ScreenProcessing/ScreenProcessing/R2/step1/output/count_files/21062D-07-01_S102_L006_R2_001_CRISPRi_v2_human.trim_1_39_reverse.fa_h1_top5_Diff20.counts
sgId			
ADH4_+_100065444.23-P1P2	1122	5250	5
ADH4_+_100065450.23-P1P2	0	0	0
ADH4_-_100065227.23-P1P2	0	0	0
ADH5_+_100009684.23-P1P2	0	0	0
ADH5_+_100009798.23-P1P2	0	0	0
ADH5_+_100009821.23-P1P2	1364	1	1785
ADH5_+_100009838.23-P1P2	1665	0	0
ADH5_-_100009831.23-P1P2	0	0	0
ADK_+_75911404.23-P2	0	0	0
ADK_+_75911444.23-P2	1361	1	1798
ADK_+_75936517.23-P1	2605	6	2224
ADK_+_75936538.23-P1	4334	0	2
ADK_+_75936570.23-P1	2105	4419	1535
ADK_+_75936748.23-P1	0	0	0
ADK_-_75911021.23-P2	0	0	0
ADK_-_75911025.23-P2	0	0	0
ADK_-_75911437.23-P2	717	1	2
ADK_-_75936578.23-P1	0	0	0
ADORA1_+_203096891.23-P1P2	4421	1	7
ADORA1_+_203097450.23-P1P2	4065	4	2249
ADORA1_+_203097472.23-P1P2	2888	4647	2498
ADORA1_+_203097506.23-P1P2	0	0	0
ADORA1_-_203096974.23-P1P2	0	0	0
ADORA2A_+_24820308.23-P1P2	2445	8	5521
ADORA2A_-_24819888.23-P1P2	1992	2062	2
ADORA2A_-_24819903.23-P1P2	0	0	0
ADORA2A_-_24819947.23-P1P2	1659	4739	1633
ADORA2A_-_24820281.23-P1P2	0	0	0
ADORA2B_+_15848686.23-P1P2	1693	4	3063
ADORA2B_+_15848965.23-P1P2	0	0	0
ADORA2B_-_15848659.23-P1P2	5207	2188	2
ADORA2B_-_15848791.23-P1P2	0	0	0
ADORA2B_-_15848949.23-P1P2	1657	2	1734
ADORA3_+_112031013.23-P1	0	0	0
ADORA3_+_112031386.23-P1	32	3282	1885
ADORA3_+_112031407.23-P1	0	0	0
ADORA3_+_112031411.23-P1	887	0	0
ADORA3_+_112031418.23-P1	1368	3	862
ADORA3_+_112045890.23-P2	0	0	0
ADORA3_+_112046055.23-P2	1633	3	1871
ADORA3_+_112046115.23-P2	629	0	0
ADORA3_+_112046284.23-P2	0	0	0
ADORA3_-_112046251.23-P2	0	0	0
ADRA1A_+_26724406.23-P1P2	5227	3001	4171
ADRA1A_-_26724311.23-P1P2	1415	1	3640
ADRA1A_-_26724340.23-P1P2	371	0	0
ADRA1A_-_26724356.23-P1P2	5495	4	0
ADRA1A_-_26724373.23-P1P2	0	0	0
ADRA1B_+_159343520.23-P1P2	4369	4	1973
ADRA1B_+_159344209.23-P1P2	2700	0	2235
ADRA1B_+_159344222.23-P1P2	0	0	0
ADRA1B_-_159343504.23-P1P2	6041	5738	1607
ADRA1B_-_159343900.23-P1P2	1152	2682	1
ADRA1D_+_4229485.23-P1P2	1359	9	3993
ADRA1D_-_4229164.23-P1P2	0	0	0
ADRA1D_-_4229250.23-P1P2	2844	2	2
ADRA1D_-_4229495.23-P1P2	2385	939	1575
ADRA1D_-_4229926.23-P1P2	421	3188	1295
ADRA2A_-_112837142.23-P1P2	2959	1	2
ADRA2A_-_112837201.23-P1P2	2019	5	3393
ADRA2A_-_112837216.23-P1P2	0	0	0
ADRA2A_-_112837238.23-P1P2	843	0	0
ADRA2A_-_112837251.23-P1P2	3317	0	0
ADRA2B_+_96781839.23-P1P2	2506	7	3313
ADRA2B_-_96781873.23-P1P2	0	0	0
ADRA2B_-_96781894.23-P1P2	0	0	0
ADRA2B_-_96782243.23-P1P2	0	0	0
ADRA2B_-_96782246.23-P1P2	1207	0	0
ADRA2C_+_3768074.23-P1P2	957	2	2570
ADRA2C_+_3768082.23-P1P2	3942	6	3790
ADRA2C_+_3768098.23-P1P2	536	0	2
ADRA2C_-_3767700.23-P1P2	0	0	0
ADRA2C_-_3767888.23-P1P2	1943	1	2
ADRB1_+_115804002.23-P1P2	0	0	0
ADRB1_-_115803895.23-P1P2	3330	1737	652
ADRB1_-_115804061.23-P1P2	3174	5168	7154
ADRB1_-_115804069.23-P1P2	855	3	2191
ADRB1_-_115804075.23-P1P2	1519	3167	1581
ADRB2_+_148206220.23-P1P2	5883	2197	1937
ADRB2_+_148206227.23-P1P2	3057	5085	2
ADRB2_-_148206186.23-P1P2	2952	2	3222
ADRB2_-_148206207.23-P1P2	2349	1	1966
ADRB2_-_148206413.23-P1P2	1139	3	1
ADRB3_+_37822768.23-P1P2	1227	3119	1533
ADRB3_-_37822919.23-P1P2	1476	1	1254
ADRB3_-_37823380.23-P1P2	523	1	3788
ADRB3_-_37823667.23-P1P2	1408	6111	3489
ADRB3_-_37823742.23-P1P2	1571	0	2133
ADRBK1_+_67033933.23-P1P2	1424	4656	2862
ADRBK1_+_67034195.23-P1P2	0	0	0
ADRBK1_+_67034566.23-P1P2	5413	3	2
ADRBK1_-_67033953.23-P1P2	0	0	0
ADRBK1_-_67034001.23-P1P2	2022	2	1357
ADRBK2_+_25960616.23-P1P2	5283	5642	7998
ADRBK2_-_25960625.23-P1P2	4246	2869	1950
ADRBK2_-_25960628.23-P1P2	0	0	0
ADRBK2_-_25960707.23-P1P2	4453	6	3263
ADRBK2_-_25960854.23-P1P2	2299	1	57
ADSSL1_+_105190776.23-P1P2	3574	10	3313
ADSSL1_+_105190789.23-P1P2	4870	3	1552
ADSSL1_+_105190984.23-P1P2	1499	2	1
ADSSL1_-_105190591.23-P1P2	2664	1602	1748
ADSSL1_-_105190615.23-P1P2	2787	4942	1932
AFG3L2_+_12377215.23-P1P2	0	0	0
AFG3L2_-_12377072.23-P1P2	0	0	0
AFG3L2_-_12377209.23-P1P2	0	0	0
AFG3L2_-_12377212.23-P1P2	0	0	0
AFG3L2_-_12377232.23-P1P2	0	0	0
AGTR1_+_148416039.23-P1P2	1626	2	2
AGTR1_+_148416061.23-P1P2	1571	2	2080
AGTR1_-_148415743.23-P1P2	0	0	0
AGTR1_-_148415748.23-P1P2	1093	1	2
AGTR1_-_148415793.23-P1P2	0	0	0
AGTR2_+_115301983.23-P1P2	1775	0	1
AGTR2_+_115302459.23-P1P2	0	0	0
AGTR2_-_115301994.23-P1P2	0	0	0
AGTR2_-_115302232.23-P1P2	0	0	0
AGTR2_-_115302383.23-P1P2	1480	1	0
AGXT2_+_35048018.23-P1P2	0	0	0
AGXT2_-_35047934.23-P1P2	2747	1	1624
AGXT2_-_35047958.23-P1P2	0	0	0
AGXT2_-_35047966.23-P1P2	0	0	0
AGXT2_-_35048026.23-P1P2	0	0	0
AGXT_+_241808192.23-P1P2	0	0	0
AGXT_+_241808286.23-P1P2	2795	1	0
AGXT_+_241808483.23-P1P2	117	0	0
AGXT_+_241808706.23-P1P2	0	0	0
AGXT_-_241808273.23-P1P2	878	0	0
AHCY_-_32890731.23-P1P2	1182	1518	2055
