	lower	upper
	Rep1	Rep1
sgId		
ACTA1_-_229569839.23-P1	-2.5479742965264425	-9.870754163516365
ACTR2_+_65455294.23-P1P2	-2.9651443830980977	-10.872886750809178
ACTR2_+_65455348.23-P1P2		
ACTR2_-_65454953.23-P1P2		
ACTR2_-_65454971.23-P1P2		
ACTR2_-_65455345.23-P1P2		
ACVR1B_+_52345561.23-P1P2		
ACVR1B_+_52345897.23-P1P2		
ACVR1B_+_52345907.23-P1P2	-0.6401348715243742	-9.13283973995661
ACVR1B_-_52345530.23-P1P2		
ACVR1B_-_52345917.23-P1P2	10.21958433458945	-8.171469988120982
ACVR1C_+_158484889.23-P1P2		
ACVR1C_+_158484901.23-P1P2	0.36700130975725465	2.4110293311604334
ACVR1C_+_158484938.23-P1P2	-1.1511592329684799	-8.736973505792196
ACVR1C_+_158485339.23-P1P2		
ACVR1C_-_158485307.23-P1P2		
ACVR1_+_158732079.23-P1P2		
ACVR1_+_158732198.23-P1P2	-1.4693568736705238	-10.962061742102758
ACVR1_+_158732232.23-P1P2		
ACVR1_+_158732258.23-P1P2		
ACVR1_-_158732511.23-P1P2	0.7940114507021736	3.33696485456401
ACVR2A_+_148602294.23-P1P2		
ACVR2A_+_148602343.23-P1P2		
ACVR2A_+_148602346.23-P1P2	-1.5403661310186827	-8.448108498729761
ACVR2A_-_148602102.23-P1P2	-0.6845289908828285	2.7055047043002403
ACVR2A_-_148602669.23-P1P2	-1.2934513905481655	-9.202324840277894
ACVR2B_+_38495339.23-P1P2		
ACVR2B_+_38495450.23-P1P2	-1.5841918714410994	-0.21193682473073472
ACVR2B_+_38495606.23-P1P2	9.585154838239479	0.14501141003709617
ACVR2B_+_38495842.23-P1P2	11.243034426275386	2.8768597834221388
ACVR2B_-_38495819.23-P1P2		
ACVRL1_+_52300726.23-P1P2		
ACVRL1_+_52300742.23-P1P2		
ACVRL1_+_52300819.23-P1P2	-0.5714944627267933	-7.894274329716715
ACVRL1_-_52300776.23-P1P2		
ACVRL1_-_52301119.23-P1P2		
ACY1_+_52017535.23-P1P2	-0.8053063429960527	2.050921324906454
ACY1_+_52017980.23-P1P2	8.958999355245435	0.32368773697048614
ACY1_-_52017547.23-P1P2	10.67128440677527	-7.792804345966615
ACY1_-_52017921.23-P1P2		
ACY1_-_52017938.23-P1P2		
ACY3_+_67414985.23-P2	-2.5649473751301564	-10.472689742841235
ACY3_+_67415013.23-P2	-1.1025833292852596	-9.009033538342212
ACY3_+_67417722.23-P1		
ACY3_+_67417960.23-P1	9.721302626514637	-0.028642931508323977
ACY3_+_67418110.23-P1	10.296624286458588	3.153058545750915
ACY3_-_67414577.23-P2	9.517207208075114	2.119701448800108
ACY3_-_67414607.23-P2		
ACY3_-_67414970.23-P2		
ACY3_-_67417956.23-P1		
ACY3_-_67418149.23-P1	-0.40238576210133026	1.2153926792826615
ACYP2_+_54342830.23-P1P2	2.128012377890111	-7.779729989820967
ACYP2_-_54342821.23-P1P2		
ACYP2_-_54343153.23-P1P2		
ACYP2_-_54343157.23-P1P2	-1.18824696691056	0.9119723202848435
ACYP2_-_54343180.23-P1P2	-0.24571185910206772	0.8273993795665884
ADAM33_+_3662271.23-P1P2	-1.1608052402751632	-10.068547607986243
ADAM33_+_3662642.23-P1P2	-1.3322456054710052	-10.239987973182084
ADAM33_-_3662191.23-P1P2	-1.6601644424836284	-9.567906810194707
ADAM33_-_3662194.23-P1P2		
ADAM33_-_3662638.23-P1P2	-1.6214768203475263	-9.529219188058606
ADAMTS5_+_28339356.23-P1P2	11.628821068773581	2.050996469495947
ADAMTS5_+_28339363.23-P1P2	-1.2011715330000499	-9.10891390071113
ADAMTS5_-_28338950.23-P1P2	11.777574383836964	-8.429876659302263
ADAMTS5_-_28339372.23-P1P2	0.09547544302982125	1.075606444756888
ADAMTS5_-_28339421.23-P1P2		
ADCK1_+_78266506.23-P1P2	10.110050492315729	-8.751160837624196
ADCK1_-_78266512.23-P1P2	-0.3694872815807049	2.631162971481966
ADCK1_-_78266523.23-P1P2	-1.6776095769430377	-8.00038944393296
ADCK1_-_78266828.23-P1P2	9.179571507305626	-9.270235402688897
ADCK1_-_78266900.23-P1P2	10.332914532829497	-9.036563056486445
ADCK2_+_140372748.23-P1P2	-0.8382567647973396	-8.744447012895678
ADCK2_+_140373084.23-P1P2	-0.3907977878261182	2.6008167673859144
ADCK2_+_140373152.23-P1P2	9.289813532273623	0.06069068594324445
ADCK2_-_140373160.23-P1P2	-2.5331968515266237	-10.440939219237702
ADCK2_-_140373404.23-P1P2		
ADCK3_+_227128242.23-P1P2		
ADCK3_+_227128400.23-P1P2	9.595239335771899	1.6275694595141492
ADCK3_-_227128046.23-P1P2	8.978186226143212	0.1467097526602011
ADCK3_-_227128055.23-P1P2	-0.5041580642339518	1.7639609516202643
ADCK3_-_227128078.23-P1P2		
ADCK4_+_41222752.23-P1P2	-1.6119809089736634	-9.520630346844072
ADCK4_-_41222351.23-P1P2	-1.7723978248306231	-9.680951835342794
ADCK4_-_41222709.23-P1P2		
ADCK4_-_41222769.23-P1P2		
ADCK4_-_41222791.23-P1P2	-1.2951476812090643	2.183511374720635
ADCK5_+_145597793.23-P1P2		
